TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1621448041462	0.000043	-0.000037	1.175894	0.906306	0.000028	0.000012	0.422621	1.000000	0.000000	0.000000	0	0	76.597588	0.000000	img__0_1621448041409692500.png
1621448041913	0.000043	-0.000037	1.177451	0.906306	0.000028	0.000012	0.422621	1.000000	0.000000	0.000000	0	0	403.601196	0.000000	img__0_1621448041911976100.png
1621448042357	0.000043	-0.000037	1.175686	0.906306	0.000028	0.000012	0.422621	1.000000	0.000000	0.000000	0	0	856.463257	0.000000	img__0_1621448042355864800.png
1621448042819	0.000043	-0.000037	1.173945	0.906306	0.000028	0.000012	0.422621	1.000000	0.000000	0.000000	0	0	1311.157837	-0.000000	img__0_1621448042801607400.png
1621448043247	0.000043	-0.000037	1.173061	0.906306	0.000028	0.000012	0.422621	1.000000	0.000000	0.000000	0	0	1266.147461	-0.000000	img__0_1621448043246273900.png
1621448043719	0.000023	-0.000061	1.172101	0.906307	0.000046	-0.000026	0.422621	1.000000	0.000000	0.000000	1	0	1220.436768	0.118422	img__0_1621448043698295700.png
1621448044282	0.015478	0.018363	1.171293	0.906305	-0.000250	0.000609	0.422623	1.000000	0.000000	0.000000	1	0	1477.563599	0.439760	img__0_1621448044280084000.png
1621448044795	0.051478	0.061271	1.170774	0.906304	-0.000447	0.001032	0.422625	1.000000	0.000000	0.000000	1	0	1738.250000	0.779525	img__0_1621448044778843700.png
1621448045255	0.108169	0.128839	1.170414	0.906302	-0.000618	0.001399	0.422629	1.000000	0.000000	0.000000	1	0	2000.337036	1.068983	img__0_1621448045238843300.png
1621448045689	0.183970	0.219185	1.170214	0.906300	-0.000685	0.001542	0.422632	1.000000	0.000000	0.000000	1	0	2261.904785	1.392306	img__0_1621448045687212200.png
1621448046209	0.279581	0.333142	1.170063	0.906297	-0.000762	0.001707	0.422636	1.000000	0.000000	0.000000	1	0	2522.432129	1.669655	img__0_1621448046208028200.png
1621448046690	0.393651	0.469103	1.169995	0.906295	-0.000768	0.001720	0.422641	1.000000	0.000000	0.000000	1	0	2781.002930	1.983492	img__0_1621448046687609100.png
1621448047192	0.527013	0.628061	1.169929	0.906293	-0.000807	0.001804	0.422646	1.000000	0.000000	0.000000	1	0	3037.531250	2.253505	img__0_1621448047153957200.png
1621448047620	0.678425	0.808535	1.169913	0.906290	-0.000793	0.001773	0.422651	1.000000	0.000000	0.000000	1	0	3291.485352	2.560772	img__0_1621448047614889200.png
1621448048078	0.848755	1.011564	1.169879	0.906287	-0.000819	0.001830	0.422657	1.000000	0.000000	0.000000	1	0	3542.927734	2.826120	img__0_1621448048076899200.png
1621448048571	1.036808	1.235725	1.169884	0.906285	-0.000797	0.001781	0.422663	1.000000	0.000000	0.000000	1	0	3791.508057	3.126604	img__0_1621448048517417300.png
1621448048959	1.243410	1.482001	1.169867	0.906281	-0.000814	0.001818	0.422670	1.000000	0.000000	0.000000	1	0	4037.335449	3.389119	img__0_1621448048958007100.png
1621448049401	1.467515	1.749151	1.169879	0.906278	-0.000789	0.001765	0.422677	1.000000	0.000000	0.000000	1	0	4280.179688	3.684017	img__0_1621448049400256800.png
1621448049865	1.709901	2.038100	1.169865	0.906275	-0.000806	0.001799	0.422684	1.000000	0.000000	0.000000	1	0	4520.165039	3.945209	img__0_1621448049862899000.png
1621448050357	1.973891	2.343585	1.169883	0.907313	-0.000485	0.001875	0.420451	1.000000	0.000000	0.000000	1	0	4759.497559	4.224259	img__0_1621448050354808800.png
1621448050873	2.255395	2.670137	1.169875	0.907993	-0.000532	0.001882	0.418981	1.000000	0.000000	0.000000	0	0	5047.741211	4.446991	img__0_1621448050871464800.png
1621448051349	2.548603	3.003926	1.170015	0.909140	-0.000134	0.001509	0.416488	1.000000	-0.500000	0.000000	0	0	4874.458496	4.446243	img__0_1621448051348135600.png
1621448051804	2.861128	3.319551	1.170104	0.914292	0.001053	0.001663	0.405051	1.000000	-0.500000	0.000000	2	0	4341.845215	4.532589	img__0_1621448051802232200.png
1621448052255	3.204785	3.633375	1.170064	0.921453	0.001894	0.002134	0.388479	1.000000	0.000000	0.000000	2	0	4397.546387	4.849161	img__0_1621448052244722100.png
1621448052700	3.562998	3.975221	1.169992	0.924544	0.001326	0.002168	0.381068	1.000000	-0.500000	0.000000	2	0	4385.492188	5.183452	img__0_1621448052691164200.png
1621448053136	3.964756	4.311356	1.161737	0.931104	0.002640	0.002311	0.364737	1.000000	-0.500000	0.000000	2	0	4365.730957	5.523298	img__0_1621448053134327900.png
1621448053589	4.426194	4.638588	1.162785	0.941363	0.004086	0.003774	0.337349	1.000000	-0.500000	0.000000	2	0	4293.955078	5.831905	img__0_1621448053586299700.png
1621448054167	4.928646	4.975349	1.163562	0.948640	0.004038	0.003776	0.316309	1.000000	0.000000	0.000000	2	0	4247.622070	6.332816	img__0_1621448054143269300.png
1621448054615	5.445203	5.355934	1.164051	0.949153	0.001653	0.003099	0.314796	1.000000	0.000000	0.000000	2	0	4185.670410	6.771194	img__0_1621448054609669600.png
1621448055113	5.996208	5.765074	1.164217	0.949364	0.000156	0.003260	0.314161	1.000000	-0.500000	0.000000	2	0	4145.621094	7.108146	img__0_1621448055098741100.png
1621448055618	6.586871	6.178055	1.164689	0.951665	0.001027	0.002650	0.307126	1.000000	-0.500000	0.000000	2	0	4122.606445	7.474457	img__0_1621448055579906700.png
1621448056055	7.236544	6.569424	1.164617	0.958866	0.003256	0.003998	0.283812	1.000000	-0.500000	0.000000	2	0	4126.449707	7.617127	img__0_1621448056052853900.png
1621448056545	7.932999	6.925477	1.164944	0.967455	0.005919	0.003744	0.252947	1.000000	-0.500000	0.000000	2	0	4125.175293	8.115396	img__0_1621448056523041300.png
1621448056989	8.679235	7.268547	1.164879	0.973860	0.006464	0.004181	0.227016	1.000000	0.000000	0.000000	2	0	4142.364746	8.432567	img__0_1621448056984735400.png
1621448057557	9.447608	7.637755	1.165001	0.974805	0.004351	0.003401	0.222990	1.000000	0.000000	0.000000	2	0	4144.183594	8.769774	img__0_1621448057502886600.png
1621448058013	10.251033	8.014074	1.165024	0.975896	0.003139	0.003108	0.218194	1.000000	-0.500000	0.000000	2	0	4163.875977	9.063580	img__0_1621448058012056200.png
1621448058602	11.091439	8.384659	1.165047	0.977591	0.002730	0.002992	0.210476	1.000000	0.000000	0.000000	2	0	4185.846191	9.395098	img__0_1621448058594291800.png
1621448059090	11.957955	8.765077	1.167727	0.978456	0.002928	0.001455	0.206428	1.000000	-0.500000	0.000000	2	0	4345.576172	9.580141	img__0_1621448059068208000.png
1621448059602	12.836406	9.129735	1.181306	0.979429	0.010037	-0.003665	0.201505	1.000000	0.000000	0.000000	2	0	4654.590332	9.640084	img__0_1621448059591134500.png
1621448060124	13.729385	9.506287	1.189231	0.979971	0.017309	-0.005256	0.198314	1.000000	-0.500000	0.000000	2	0	4691.792969	9.931231	img__0_1621448060095027500.png
1621448060567	14.667867	9.868929	1.204170	0.981911	0.025920	0.000116	0.187560	1.000000	-0.500000	0.000000	2	0	4715.246094	10.213571	img__0_1621448060563235700.png
1621448061040	15.649857	10.186641	1.215844	0.986236	0.039990	0.004049	0.160385	1.000000	0.000000	0.000000	2	0	4738.841797	10.507133	img__0_1621448061022037500.png
1621448061491	16.667376	10.488324	1.223666	0.988614	0.048822	0.006167	0.142197	1.000000	0.000000	0.000000	2	0	4760.958496	10.823329	img__0_1621448061479412200.png
1621448061957	17.716600	10.797838	1.228694	0.988915	0.052867	0.007840	0.138532	1.000000	0.000000	0.000000	2	0	4779.869629	11.133803	img__0_1621448061948089500.png
1621448062416	18.796780	11.110767	1.232086	0.988737	0.054672	0.008559	0.139057	1.000000	0.000000	0.000000	2	0	4801.966797	11.448170	img__0_1621448062413989500.png
1621448062906	19.907501	11.430364	1.234189	0.988751	0.055113	0.009270	0.138735	1.000000	-0.500000	0.000000	2	0	4832.205078	11.749247	img__0_1621448062868712400.png
1621448063347	21.045746	11.743076	1.237792	0.989415	0.055744	0.007866	0.133752	1.000000	0.000000	0.000000	0	0	5040.274902	11.920997	img__0_1621448063345022500.png
1621448063827	22.187229	12.051193	1.250740	0.990420	0.051517	0.001730	0.128109	1.000000	-0.500000	0.000000	0	0	4867.902344	11.863008	img__0_1621448063824722500.png
1621448064285	23.331615	12.348181	1.267338	0.991402	0.043202	-0.002780	0.123479	1.000000	-0.500000	0.000000	3	0	4372.290039	11.996566	img__0_1621448064272963500.png
1621448064735	24.517290	12.609780	1.286036	0.994114	0.029308	0.000733	0.104295	1.000000	-0.500000	0.000000	3	0	4293.211914	12.232833	img__0_1621448064712372200.png
1621448065155	25.737509	12.801997	1.294810	0.996815	0.021663	0.000363	0.076753	1.000000	-0.500000	0.000000	3	0	4208.003906	12.601229	img__0_1621448065154010100.png
1621448065599	26.998314	12.929977	1.300426	0.998768	0.017708	0.001066	0.046340	1.000000	-0.500000	0.000000	3	0	4146.983887	12.806737	img__0_1621448065598308900.png
1621448066076	28.287014	12.987123	1.304412	0.999754	0.016080	0.000563	0.015255	1.000000	-0.500000	0.000000	3	0	4098.252930	13.118963	img__0_1621448066044402900.png
1621448066477	29.604576	12.967827	1.306811	0.999740	0.015706	0.000936	-0.016518	1.000000	-0.500000	0.000000	3	0	4070.675293	13.304946	img__0_1621448066475758000.png
1621448067029	30.938690	12.867738	1.308607	0.998703	0.015921	0.000256	-0.048355	1.000000	-0.500000	0.000000	3	0	4051.087891	13.570870	img__0_1621448066980859400.png
1621448067556	32.287991	12.682484	1.309611	0.996606	0.016432	0.000199	-0.080660	1.000000	-0.500000	0.000000	3	0	4045.775391	13.745803	img__0_1621448067526476700.png
1621448068031	33.641426	12.409846	1.310432	0.993454	0.016953	-0.000614	-0.112966	1.000000	-0.500000	0.000000	3	0	4045.453369	13.978063	img__0_1621448068019231800.png
1621448068494	34.995647	12.046578	1.310846	0.989186	0.017525	-0.000972	-0.145616	1.000000	0.000000	0.000000	3	0	4048.633545	14.160688	img__0_1621448068491789100.png
1621448069034	36.353085	11.615641	1.311223	0.985673	0.016366	-0.001215	-0.167870	1.000000	-0.500000	0.000000	3	0	4035.895264	14.428865	img__0_1621448068999029800.png
1621448069511	37.719707	11.132189	1.311362	0.983619	0.014593	-0.000878	-0.179667	1.000000	-0.500000	0.000000	3	0	4046.541260	14.626401	img__0_1621448069489054800.png
1621448070018	39.088474	10.593842	1.311563	0.981156	0.012746	-0.000864	-0.192795	1.000000	0.000000	0.000000	3	0	4045.514648	14.893560	img__0_1621448069989840500.png
1621448070458	40.475826	10.031509	1.311582	0.980482	0.009893	-0.000083	-0.196361	1.000000	0.000000	0.000000	3	0	4050.239014	15.111755	img__0_1621448070457336000.png
1621448070927	41.879833	9.449933	1.311702	0.980376	0.007134	0.000263	-0.197010	1.000000	0.000000	0.000000	3	0	4059.774902	15.375472	img__0_1621448070925556100.png
1621448071393	43.305054	8.854417	1.311681	0.980378	0.004869	0.000943	-0.197066	0.000000	0.000000	0.000000	0	0	3668.418213	15.567065	img__0_1621448071390060900.png
